,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15
PB5,-,-,TIM3_CH2,-,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,SPI6_MOSI,CAN2_RX,OTG_HS_ULPI_D7,ETH_PPS_OUT,FMC_SDCKE1,-,LCD_G7,EVENTOUT
PB6,-,-,TIM4_CH1,HDMI_CEC,I2C1_SCL,-,DFSDM1_DATIN5,USART1_TX,-,CAN2_TX,-,QUADSPI_BK1_NCS,I2C4_SCL,FMC_SDNE1,DCMI_D5,EVENTOUT
PB7,-,-,TIM4_CH2,-,I2C1_SDA,-,DFSDM1_CKIN5,USART1_RX,-,-,-,-,-,FMC_NL,DCMI_VSYNC,EVENTOUT
PB8,-,I2C4_SCL,TIM4_CH3,TIM10_CH1,I2C1_SCL,-,DFSDM1_CKIN7,UART5_RX,CAN1_RX,SDMMC2_D4,ETH_MII_TXD3,SDMMC2_D4,DCMI_D6,-,LCD_B6,EVENTOUT
PB9,-,I2C4_SDA,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,DFSDM1_DATIN7,UART5_TX,CAN1_TX,SDMMC2_D5,I2C4_SMBA,SDMMC2_D5,DCMI_D7,-,LCD_B7,EVENTOUT
PB10,-,TIM2_CH3,-,-,I2C2_SCL,SPI2_SCK/I2S2_CK,DFSDM1_DATIN7,USART3_TX,-,QUADSPI_BK1_NCS,OTG_HS_ULPI_D3,ETH_MII_RX_ER,-,-,LCD_G4,EVENTOUT
PB11,-,TIM2_CH4,-,-,I2C2_SDA,-,DFSDM1_CKIN7,USART3_RX,-,-,OTG_HS_ULPI_D4,ETH_MII_TX_EN/ETH_RMII_TX_EN,-,DSI_TE,LCD_G5,EVENTOUT
PB12,-,TIM1_BKIN,-,-,I2C2_SMBA,SPI2_NSS/I2S2_WS,DFSDM1_DATIN1,USART3_CK,UART5_RX,CAN2_RX,OTG_HS_ULPI_D5,ETH_MII_TXD0/ETH_RMII_TXD0,OTG_HS_ID,-,-,EVENTOUT
PB13,-,TIM1_CH1N,-,-,-,SPI2_SCK/I2S2_CK,-,USART3_RTS,UART5_TX,-,OTG_HS_ULPI_D6,ETH_MII_RXD1/ETH_RMII_RXD1,-,-,LCD_G6,EVENTOUT
PB14,-,TIM1_CH2N,-,-,-,SPI2_MISO,-,USART1_TX,UART4_RTS,-,OTG_HS_ULPI_D7,ETH_MII_RXD2,FMC_D0,SDMMC2_D0,-,EVENTOUT
PB15,RTC_REFIN,TIM1_CH3N,-,-,-,SPI2_MOSI/I2S2_SD,-,USART1_RX,UART4_CTS,-,OTG_HS_ULPI_D0,ETH_MII_RXD3,FMC_NBL1,SDMMC2_D1,-,EVENTOUT
