UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA176,LQFP144,Name,Type,IO,Alternate,Additional
0,0,0,0,B9,115,PD1,I/O,FT,SPI4_MOSI/FMC_D3/EVENTOUT,
0,0,0,0,C8,116,PD2,I/O,FT,TIM3_ETR/SDIO_CMD/DCMI_D11/EVENTOUT,
0,0,0,0,B8,117,PD3,I/O,FT,SPI2_SCK/I2S2_CK/USART2_CTS/SPI4_CS/FMC_D0/EVENTOUT,
0,0,0,0,B7,118,PD4,I/O,FT,USART2_RTS/FMC_D1/EVENTOUT,
0,0,0,0,A6,119,PD5,I/O,FT,USART2_TX/FMC_D2/EVENTOUT,
0,0,0,0,0,0,VSS,S,,,
0,0,0,0,0,0,VDDMMC,S,,,
0,0,0,0,B6,122,PD6,I/O,FT,USART2_RX/SPI3_MOSI/I2S3_SD/DFSDM1_CKIN3/FMC_D3/EVENTOUT,
0,0,0,0,A5,123,PD7,I/O,FT,USART2_CK/SPI1_MOSI/I2S1_SD/DFSDM1_DATIN3/SPDIF_RX0/FMC_D4/EVENTOUT,
0,0,0,0,0,124,PG9,I/O,FT,SPI1_MISO/I2S1ext_SD/QUADSPI_BK1_IO2/SPDIF_RX0/ETH_MII_RXD0/FMC_NE2/EVENTOUT,
0,0,0,0,0,125,PG10,I/O,FT,SPI1_SCK/I2S1_CK/LCD_G3/SPDIF_RX1/ETH_MII_RXD1/FMC_NE3/EVENTOUT,
0,0,0,0,0,126,PG11,I/O,FT,SPI1_MOSI/I2S1_SD/LCD_B3/SPDIF_RX2/ETH_MII_TX_EN/FMC_SDNWE/EVENTOUT,
0,0,0,0,0,127,PG12,I/O,FT,SPI1_NSS/I2S1_WS/LCD_B4/SPI6_MISO/ETH_MII_TXD1/FMC_NE4/EVENTOUT,
0,0,0,0,0,128,PG13,I/O,FT,SPI6_SCK/LCD_R3/ETH_MII_TXD0/FMC_A24/EVENTOUT,
0,0,0,0,0,129,PG14,I/O,FT,SPI6_MOSI/LCD_B5/ETH_MII_TXD1/FMC_A25/EVENTOUT,
0,0,0,0,0,0,VSS,S,,,
0,0,0,0,0,0,VDD,S,,,
0,0,0,0,0,132,PG15,I/O,FT,FMC_SDNCAS/DCMI_D13/EVENTOUT,
0,0,0,0,A8,133,PB3(JTDO-TRACESWO),I/O,FT,JTDO-SWO/SPI3_SCK/I2S3_CK/I2C2_SDA/TIM2_CH2/SPI1_SCK/UART4_RX/SPDIF_RX0/EVENTOUT,
0,0,0,0,A7,134,PB4(NJTRST),I/O,FT,NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2C3_SDA/I2S3ext_SD/SPDIF_RX1/EVENTOUT,
0,0,0,0,C5,135,PB5,I/O,FT,I2C1_SMBA/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/I2S3_SD/SPDIF_RX2/FMC_SDCKE1/EVENTOUT,
0,0,0,0,B5,136,PB6,I/O,FT,I2C1_SCL/TIM4_CH1/USART1_TX/FMC_SDNE1/DCMI_D5/EVENTOUT,
0,0,0,0,B4,137,PB7,I/O,FT,I2C1_SDA/USART1_RX/TIM4_CH2/FMC_NL/DCMI_VSYNC/EVENTOUT,
0,0,0,0,A4,138,BOOT0,I,B,,VPP
0,0,0,0,A3,139,PB8,I/O,FT,TIM4_CH3/SDIO_D4/TIM10_CH1/I2C1_SCL/SPI5_SCK/UART5_RX/FMC_NWAIT/DCMI_D6/EVENTOUT,
0,0,0,0,B3,140,PB9,I/O,FT,SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/I2C1_SDA/SPI5_MOSI/UART5_TX/DCMI_D7/EVENTOUT,
0,0,0,0,C3,141,PE0,I/O,FT,TIM4_ETR/UART8_RX/FMC_NBL0/DCMI_D2/EVENTOUT,
0,0,0,0,A2,142,PE1,I/O,FT,UART8_TX/FMC_NBL1/DCMI_D3/EVENTOUT,
0,0,0,0,H3,0,VSS,S,,,
0,0,0,0,0,143,PDR_ON,I,FT,,
0,0,0,0,0,0,VDD,S, ,,
